Key,日期,科目,項目,金額,備註1,備註2,編輯
1490,2013-08-28,2.票收,票收,60900,隆宜6月份,台銀淡水031035076AD64743811020828,
1489,2013-08-09,2.票收,票收,3913,富銘季獎金,一銀中山30121489AC77541881020925,
1491,2013-08-06,2.票收,票收,1943,恆茂6月份,北富龍山101018563LS01348871020625,
1468,2013-08-30,3.銀收,銀行轉入貨款-耳機,25850,統一樂客得代收貨價,永豐,
1465,2013-08-28,3.銀收,銀行轉入貨款-耳機,2490,05949510000074,郵局代收貨價,
1466,2013-08-28,3.銀收,銀行轉入貨款-耳機,450,26762510000074,郵局代收貨價,
1464,2013-08-05,3.銀收,銀行轉入貨款-耳機,3100,05949310000074,郵局代收,
1554,2013-08-28,5.現支,貨款-耳機,220000,久東,進貨單號:595,590,647,480,
1474,2013-08-13,6.銀支,交際費-耳機,2000,陳偉愷名片設計,郵局匯款,
1475,2013-08-06,6.銀支,交際費-耳機,8000,陳偉愷名片設計,郵局匯款,
1476,2013-08-06,6.銀支,交際費-耳機,10500,陳偉愷馬克杯設計,郵局匯款,
1477,2013-08-30,6.銀支,租任管理,25000,聲陞房租2013-9,廖漢東一銀,
1505,2013-08-30,6.銀支,租任管理,25000,加煒房租2013-9,莊美江台銀,
1486,2013-08-27,6.銀支,貨款-CBHD,11760,鼎炬玉山中和0439440020285,錢櫃壁插,
2163,2013-08-31,6.銀支,貨款-耳機,90300,極品,進貨單號:665,205,191,
1380,2013-08-26,6.銀支,貨款-耳機,6400,黑曜石,進貨單號:484,
1714,2013-08-22,6.銀支,貨款-耳機,57020,CanalWorks,進貨單號:770,772$184810,
1722,2013-08-22,6.銀支,貨款-耳機,90850,Rooth,進貨單號:341,385,784,384,340,383,382,782,783,780,381,339,
1723,2013-08-22,6.銀支,貨款-耳機,12000,Rooth,進貨單號:787,
1481,2013-08-15,6.銀支,貨款-耳機,20080,先創,進貨單號:573,
1484,2013-08-08,6.銀支,貨款-耳機,111040,Sony,進貨單號:478,459,447,405,406,393,374,
1478,2013-08-20,6.銀支,雜費,500,支票手續費,018-194,
1472,2013-08-27,6.銀支,餐費,20000,世新大學新聞人報社,郵局匯款,
1473,2013-08-27,6.銀支,餐費,200,陳偉愷名片設計,郵局匯款,
1212,2013-08-31,8.票支,貨款-耳機,179750,思維,198,
1448,2013-08-31,8.票支,貨款-耳機,25550,水木清華,251,
1449,2013-08-31,8.票支,貨款-耳機,25099,嘉亨,252,
1451,2013-08-31,8.票支,貨款-耳機,35176,鍵寧,254,
1452,2013-08-31,8.票支,貨款-耳機,8910,泳銓,256,
1453,2013-08-31,8.票支,貨款-耳機,413224,思維,257,
1454,2013-08-31,8.票支,貨款-耳機,13675,永聖,258,
1455,2013-08-31,8.票支,貨款-耳機,75632,功學社,259,
1521,2013-08-31,8.票支,貨款-耳機,206970,鼎恆,267,
1525,2013-08-31,8.票支,貨款-耳機,292620,宙宣,271,
2373,2013-08-31,8.票支,貨款-耳機,51662,富銘,413,
1456,2013-08-15,8.票支,貨款-耳機,20600,先創,260,
1457,2013-08-15,8.票支,貨款-耳機,5520,先鋒,261,
