Key,日期,科目,項目,金額,備註1,備註2,編輯
2358,2014-01-03,5.支出,文具,25,珍珠板,光南,
2569,2014-01-29,5.支出,清潔用品,144,光南,清潔劑手套,
2548,2014-01-25,5.支出,清潔用品,271,光南,手套清潔劑,
2532,2014-01-23,5.支出,清潔用品,89,光南,廚房紙,
2420,2014-01-08,5.支出,清潔用品,59,光南,清潔劑,
2351,2014-01-02,5.支出,清潔用品,460,垃圾袋,全家,
2460,2014-01-14,5.支出,生財器具,500,煒太,咖啡機維修,
2484,2014-01-16,5.支出,稅賦-CBHD,39185,加煒營業稅,11-12月,
2511,2014-01-20,5.支出,稅賦-耳機,3160,關稅,InEar,
2512,2014-01-20,5.支出,稅賦-耳機,2077,關稅,UEUE11PRO,
2485,2014-01-16,5.支出,稅賦-耳機,27050,陞聲營業稅,11-12月,
2451,2014-01-13,5.支出,稅賦-耳機,22,定存利息所得稅,2013/12,
2389,2014-01-06,5.支出,稅賦-耳機,285,關稅,CTM,
2343,2014-01-01,5.支出,稅賦-耳機,268,關稅,UEPRO,
2562,2014-01-28,5.支出,貨款-耳機,700,博士,耳模*1,
2547,2014-01-25,5.支出,貨款-耳機,100,維修費,001,
2530,2014-01-23,5.支出,貨款-耳機,1500,思維,維修費,
2520,2014-01-21,5.支出,貨款-耳機,1400,博士助聽器,耳模2付,
2496,2014-01-17,5.支出,貨款-耳機,1500,勝眾,耳機維修,
2472,2014-01-16,5.支出,貨款-耳機,908,yahoo服務費,大眾卡,
2473,2014-01-16,5.支出,貨款-耳機,605,露天服務費,大眾卡,
2377,2014-01-10,5.支出,貨款-耳機,36550,艾羅,進貨單號:1057,972,864,847,
2432,2014-01-10,5.支出,貨款-耳機,36440,CTM,USD1200*30.1+320進貨單號:1181,
2433,2014-01-10,5.支出,貨款-耳機,80281,Rooth,USD2656.5*30.1+320單號:1183,911,657,675,
2428,2014-01-09,5.支出,貨款-耳機,6250,日文書代購,,
2401,2014-01-08,5.支出,貨款-耳機,23710,Sony,12/27已匯19985（89985）進貨單號:1109,1102,1103,1139,
2402,2014-01-08,5.支出,貨款-耳機,4529,Sony,12/27已匯70000（89985）進貨單號:1088,1052,1055,1039,1030,
2407,2014-01-08,5.支出,貨款-耳機,13698,amazon.us,運通,
2395,2014-01-07,5.支出,貨款-耳機,1400,博士聽覺,耳模*2,
2387,2014-01-06,5.支出,貨款-耳機,310,kara包,2只,
2352,2014-01-02,5.支出,貨款-耳機,9100,博士,耳模費700*13,
2468,2014-01-15,5.支出,貨款-餐飲,290,瓦斯,5公斤,
2408,2014-01-08,5.支出,貨款-餐飲,17842,costco,運通,
2566,2014-01-29,5.支出,運費-CBHD,420,大榮貨運,好櫃5件,
2397,2014-01-07,5.支出,運費-CBHD,510,大榮,好樂迪*1錢櫃*5,
2570,2014-01-29,5.支出,運費-耳機,182,郵局,大宗,
2571,2014-01-29,5.支出,運費-耳機,182,郵局,,
2556,2014-01-27,5.支出,運費-耳機,110,郵局,1件,
2543,2014-01-25,5.支出,運費-耳機,23,郵局,2件,
2536,2014-01-24,5.支出,運費-耳機,500,7-11,iCash加值,
2537,2014-01-24,5.支出,運費-耳機,90,郵局,3件,
2510,2014-01-20,5.支出,運費-耳機,270,郵局,6件,
2495,2014-01-17,5.支出,運費-耳機,840,EMS,1件,
2481,2014-01-16,5.支出,運費-耳機,1842,EMS,3件,
2461,2014-01-14,5.支出,運費-耳機,117,郵寄,3件,
2453,2014-01-13,5.支出,運費-耳機,627,快遞運費,大耳機盒,
2429,2014-01-09,5.支出,運費-耳機,180,郵局,3件,
2419,2014-01-08,5.支出,運費-耳機,30,郵局,1件,
2396,2014-01-07,5.支出,運費-耳機,140,郵局,2件,
2398,2014-01-07,5.支出,運費-耳機,630,宅急便,6件,
2388,2014-01-06,5.支出,運費-耳機,250,郵寄,5件,
2364,2014-01-04,5.支出,運費-耳機,1335,郵局,EMS*3,
2350,2014-01-02,5.支出,運費-耳機,80,郵局代收,1件,
2544,2014-01-25,5.支出,雜費,110,藥品,,
2501,2014-01-18,5.支出,雜費,276,成坪,束線帶包裝袋,
2482,2014-01-16,5.支出,雜費,5200,椅子,8張,
2483,2014-01-16,5.支出,雜費,15645,將門廣告,招牌,
2488,2014-01-16,5.支出,雜費,12000,會計師月費,11-12月,
2357,2014-01-03,5.支出,雜費,89,電池,光南,
