Key,日期,科目,項目,金額,備註1,備註2,編輯
496,2013-04-22,1.現收,AE,12600,,,
625,2013-04-30,1.現收,刷卡(V-M-J-銀),9490,,,
611,2013-04-29,1.現收,刷卡(V-M-J-銀),14000,,,
598,2013-04-28,1.現收,刷卡(V-M-J-銀),22730,,,
593,2013-04-27,1.現收,刷卡(V-M-J-銀),48390,,,
589,2013-04-26,1.現收,刷卡(V-M-J-銀),11650,,,
574,2013-04-25,1.現收,刷卡(V-M-J-銀),32000,,,
553,2013-04-23,1.現收,刷卡(V-M-J-銀),12800,,,
495,2013-04-22,1.現收,刷卡(V-M-J-銀),39900,,,
491,2013-04-21,1.現收,刷卡(V-M-J-銀),8500,,,
485,2013-04-20,1.現收,刷卡(V-M-J-銀),29100,,,
480,2013-04-19,1.現收,刷卡(V-M-J-銀),13290,,,
466,2013-04-18,1.現收,刷卡(V-M-J-銀),2700,,,
453,2013-04-17,1.現收,刷卡(V-M-J-銀),34000,,,
447,2013-04-16,1.現收,刷卡(V-M-J-銀),9600,,,
436,2013-04-15,1.現收,刷卡(V-M-J-銀),10200,,,
432,2013-04-14,1.現收,刷卡(V-M-J-銀),16090,,,
415,2013-04-13,1.現收,刷卡(V-M-J-銀),10650,,,
428,2013-04-12,1.現收,刷卡(V-M-J-銀),14160,,,
406,2013-04-11,1.現收,刷卡(V-M-J-銀),11550,,,
398,2013-04-10,1.現收,刷卡(V-M-J-銀),19400,,,
382,2013-04-09,1.現收,刷卡(V-M-J-銀),6000,,,
366,2013-04-08,1.現收,刷卡(V-M-J-銀),4600,,,
361,2013-04-07,1.現收,刷卡(V-M-J-銀),10500,,,
355,2013-04-06,1.現收,刷卡(V-M-J-銀),23495,,,
348,2013-04-05,1.現收,刷卡(V-M-J-銀),13450,,,
344,2013-04-04,1.現收,刷卡(V-M-J-銀),31990,,,
337,2013-04-03,1.現收,刷卡(V-M-J-銀),11800,,,
328,2013-04-02,1.現收,刷卡(V-M-J-銀),9000,,,
310,2013-04-01,1.現收,刷卡(V-M-J-銀),20600,,,
624,2013-04-30,1.現收,耳機現金,75760,,,
610,2013-04-29,1.現收,耳機現金,35183,,,
597,2013-04-28,1.現收,耳機現金,59877,,,
592,2013-04-27,1.現收,耳機現金,76037,,,
588,2013-04-26,1.現收,耳機現金,90125,,,
573,2013-04-25,1.現收,耳機現金,32269,,,
565,2013-04-24,1.現收,耳機現金,25700,,,
552,2013-04-23,1.現收,耳機現金,19785,,,
494,2013-04-22,1.現收,耳機現金,41170,,,
490,2013-04-21,1.現收,耳機現金,42300,,,
484,2013-04-20,1.現收,耳機現金,115160,,,
479,2013-04-19,1.現收,耳機現金,145295,,,
465,2013-04-18,1.現收,耳機現金,22225,,,
452,2013-04-17,1.現收,耳機現金,15974,,,
446,2013-04-16,1.現收,耳機現金,44566,,,
435,2013-04-15,1.現收,耳機現金,15135,,,
431,2013-04-14,1.現收,耳機現金,33986,,,
414,2013-04-13,1.現收,耳機現金,54615,,,
427,2013-04-12,1.現收,耳機現金,102925,,,
405,2013-04-11,1.現收,耳機現金,72103,,,
397,2013-04-10,1.現收,耳機現金,53180,,,
381,2013-04-09,1.現收,耳機現金,66344,,,
365,2013-04-08,1.現收,耳機現金,53143,,,
360,2013-04-07,1.現收,耳機現金,85306,,,
354,2013-04-06,1.現收,耳機現金,86170,,,
347,2013-04-05,1.現收,耳機現金,66912,,,
343,2013-04-04,1.現收,耳機現金,80223,,,
338,2013-04-03,1.現收,耳機現金,83831,,,
327,2013-04-02,1.現收,耳機現金,56970,,,
311,2013-04-01,1.現收,耳機現金,73079,,,
616,2013-04-29,2.票收,票收,9154,華南中山27153HD4753122,盈新2.3月,
607,2013-04-29,3.銀收,利息收入-陞永豐,64,,,
603,2013-04-22,3.銀收,銀行轉入貨款-CBHD,102553,錢櫃,2月,
604,2013-04-22,3.銀收,銀行轉入貨款-CBHD,1365,好樂迪松隆,2月,
605,2013-04-22,3.銀收,銀行轉入貨款-CBHD,64510,好樂迪,2月,
425,2013-04-11,3.銀收,銀行轉入貨款-耳機,8000,334,董竹原,
424,2013-04-10,3.銀收,銀行轉入貨款-耳機,30000,334,董竹原,
606,2013-04-29,3.銀收,銀行轉入貨款-露永豐,1400,露天,564315,
459,2013-04-15,3.銀收,銀行轉入貨款-露永豐,34640,,,
568,2013-04-24,5.現支,交通費,195,停車費,2E2768,
569,2013-04-24,5.現支,交通費,140,郵資,002,
458,2013-04-17,5.現支,交通費,132,汽油,小藍,
383,2013-04-09,5.現支,交通費,1259,中油,2E2768,
384,2013-04-09,5.現支,交通費,30,停車費,2E2768,
339,2013-04-03,5.現支,交通費,141,中油,002,
500,2013-04-22,5.現支,其他代付款,2700,久東代收費,AMAZON,
450,2013-04-16,5.現支,其他代付款,369,關稅,AMAZONUS,
370,2013-04-08,5.現支,文具,38,活頁紙,光南,
457,2013-04-17,5.現支,清潔用品,237,垃圾袋,全家,
556,2013-04-23,5.現支,貨款-CBHD,320,HD排線,電洋,
489,2013-04-20,5.現支,貨款-CBHD,9600,HDDVD+R,偉帝,
455,2013-04-16,5.現支,貨款-CBHD,1000,CBDVD-R*200,偉帝,
418,2013-04-13,5.現支,貨款-CBHD,370,HD,金電子,
419,2013-04-13,5.現支,貨款-CBHD,450,CB,德成,
577,2013-04-25,5.現支,貨款-耳機,120,HD物流,電洋,
558,2013-04-23,5.現支,貨款-耳機,4100,維修費,勝眾,
371,2013-04-08,5.現支,貨款-耳機,2000,維修費,漢聲小舖,
